models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+cnn+gru+logreg+lstm+xgb+cnn_lstm,7,0.576834,0.461111,0.512521,0.542351,747,548,937,873
catboost+cnn+gru+logreg+lstm+tcn+xgb+cnn_lstm,8,0.576834,0.461111,0.512521,0.542351,747,548,937,873
catboost+cnn+lgbm+rf+cnn_lstm,5,0.576682,0.454938,0.508627,0.541385,737,541,944,883
catboost+cnn+lgbm+rf+tcn+cnn_lstm,6,0.576682,0.454938,0.508627,0.541385,737,541,944,883
catboost+cnn+gru+lgbm+rf+tcn+cnn_lstm,7,0.576562,0.455556,0.508966,0.541385,738,542,943,882
lstm+cnn_lstm,2,0.576499,0.290741,0.386541,0.518519,471,346,1139,1149
gru+lstm+cnn_lstm,3,0.576499,0.290741,0.386541,0.518519,471,346,1139,1149
gru+lstm+tcn+cnn_lstm,4,0.576499,0.290741,0.386541,0.518519,471,346,1139,1149
catboost+lstm+rf,3,0.576441,0.425926,0.489883,0.537198,690,507,978,930
catboost+lstm+rf+tcn,4,0.576441,0.425926,0.489883,0.537198,690,507,978,930
catboost+logreg,2,0.576399,0.47037,0.518015,0.543317,762,560,925,858
catboost+gru+logreg,3,0.576399,0.47037,0.518015,0.543317,762,560,925,858
catboost+gru+logreg+tcn,4,0.576399,0.47037,0.518015,0.543317,762,560,925,858
catboost+lgbm+cnn_lstm,3,0.576164,0.450617,0.505715,0.540419,730,537,948,890
catboost+lgbm+tcn+cnn_lstm,4,0.576164,0.450617,0.505715,0.540419,730,537,948,890
cnn+logreg+rf+xgb,4,0.576087,0.359877,0.443009,0.527858,583,429,1056,1037
cnn+gru+logreg+rf+xgb,5,0.576087,0.359877,0.443009,0.527858,583,429,1056,1037
cnn+gru+logreg+rf+tcn+xgb,6,0.576087,0.359877,0.443009,0.527858,583,429,1056,1037
cnn+lgbm+lstm+rf+xgb,5,0.576077,0.404321,0.475154,0.533977,655,482,1003,965
cnn+lgbm+lstm+rf+tcn+xgb,6,0.576077,0.404321,0.475154,0.533977,655,482,1003,965
catboost+logreg+lstm+rf+xgb,5,0.576052,0.439506,0.498599,0.538808,712,524,961,908
catboost+logreg+lstm+rf+tcn+xgb,6,0.576052,0.439506,0.498599,0.538808,712,524,961,908
catboost+gru+logreg+lstm+rf+tcn+xgb,7,0.576052,0.439506,0.498599,0.538808,712,524,961,908
catboost+gru+lgbm+tcn+cnn_lstm,5,0.576044,0.451235,0.506057,0.540419,731,538,947,889
catboost+rf+tcn+xgb+cnn_lstm,5,0.575977,0.491358,0.530313,0.545894,796,586,899,824
cnn+gru+lgbm+lstm+rf+tcn+xgb,7,0.575944,0.404938,0.475535,0.533977,656,483,1002,964
catboost+gru+lstm+rf+tcn,5,0.575833,0.426543,0.490071,0.536876,691,509,976,929
gru+logreg+xgb,3,0.575758,0.316667,0.408602,0.521739,513,378,1107,1107
gru+logreg+tcn+xgb,4,0.575758,0.316667,0.408602,0.521739,513,378,1107,1107
lstm+rf+cnn_lstm,3,0.575686,0.453086,0.507081,0.540419,734,541,944,886
lstm+rf+tcn+cnn_lstm,4,0.575686,0.453086,0.507081,0.540419,734,541,944,886
gru+lstm+rf+tcn+cnn_lstm,5,0.575686,0.453086,0.507081,0.540419,734,541,944,886
lgbm+logreg+lstm+rf+cnn_lstm,5,0.575517,0.446914,0.503127,0.539452,724,534,951,896
lgbm+logreg+lstm+rf+tcn+cnn_lstm,6,0.575517,0.446914,0.503127,0.539452,724,534,951,896
catboost+lgbm+logreg+lstm+rf,5,0.575494,0.449383,0.504679,0.539775,728,537,948,892
catboost+lgbm+logreg+lstm+rf+tcn,6,0.575494,0.449383,0.504679,0.539775,728,537,948,892
cnn+lgbm+xgb+cnn_lstm,4,0.575482,0.312963,0.405438,0.521095,507,374,1111,1113
gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,7,0.575397,0.447531,0.503472,0.539452,725,535,950,895
catboost+xgb+cnn_lstm,3,0.575353,0.452469,0.506565,0.540097,733,541,944,887
catboost+tcn+xgb+cnn_lstm,4,0.575353,0.452469,0.506565,0.540097,733,541,944,887
catboost+lgbm+rf+tcn+xgb,5,0.575321,0.44321,0.500697,0.538808,718,530,955,902
cnn+lstm,2,0.575316,0.365432,0.446961,0.52818,592,437,1048,1028
cnn+gru+lstm,3,0.575316,0.365432,0.446961,0.52818,592,437,1048,1028
cnn+gru+lstm+tcn,4,0.575316,0.365432,0.446961,0.52818,592,437,1048,1028
cnn+gru+lgbm+xgb+cnn_lstm,5,0.575311,0.31358,0.405913,0.521095,508,375,1110,1112
cnn+gru+lgbm+tcn+xgb+cnn_lstm,6,0.575311,0.31358,0.405913,0.521095,508,375,1110,1112
logreg+xgb,2,0.575281,0.316049,0.407968,0.521417,512,378,1107,1108
cnn+lgbm+logreg+rf+xgb,5,0.575251,0.424691,0.488636,0.536232,688,508,977,932
cnn+lgbm+logreg+rf+tcn+xgb,6,0.575251,0.424691,0.488636,0.536232,688,508,977,932
catboost+tcn,2,0.575215,0.495679,0.532493,0.545894,803,593,892,817
cnn+lgbm+logreg+lstm,4,0.575175,0.406173,0.476122,0.533655,658,486,999,962
catboost+lstm+rf+tcn+xgb,5,0.575153,0.462963,0.512996,0.541385,750,554,931,870
cnn+gru+lgbm+logreg+lstm,5,0.575044,0.40679,0.4765,0.533655,659,487,998,961
cnn+gru+lgbm+logreg+lstm+tcn,6,0.575044,0.40679,0.4765,0.533655,659,487,998,961
catboost+gru+lgbm+logreg+lstm+rf+tcn,7,0.575039,0.449383,0.504505,0.539452,728,538,947,892
catboost+gru+tcn+xgb+cnn_lstm,5,0.574785,0.453086,0.506731,0.539775,734,543,942,886
cnn+gru+lgbm+logreg+rf+tcn+xgb,7,0.57477,0.424691,0.488463,0.53591,688,509,976,932
cnn+lgbm+logreg+xgb,4,0.574747,0.351235,0.436015,0.525926,569,421,1064,1051
catboost+lgbm+lstm,3,0.574713,0.432099,0.493305,0.536876,700,518,967,920
catboost+lgbm+lstm+tcn,4,0.574713,0.432099,0.493305,0.536876,700,518,967,920
catboost+gru+tcn,3,0.574696,0.496296,0.532627,0.545572,804,595,890,816
catboost+lgbm+lstm+rf+tcn+xgb+cnn_lstm,7,0.574695,0.465432,0.514325,0.541385,754,558,927,866
cnn+lgbm+lstm+rf+cnn_lstm,5,0.574598,0.46358,0.513153,0.541063,751,556,929,869
cnn+lgbm+lstm+rf+tcn+cnn_lstm,6,0.574598,0.46358,0.513153,0.541063,751,556,929,869
cnn+gru+lgbm+lstm+rf+tcn+cnn_lstm,7,0.574598,0.46358,0.513153,0.541063,751,556,929,869
catboost+gru+lgbm+lstm+tcn,5,0.57459,0.432716,0.493662,0.536876,701,519,966,919
lstm+xgb+cnn_lstm,3,0.574568,0.451852,0.505874,0.539452,732,542,943,888
lstm+tcn+xgb+cnn_lstm,4,0.574568,0.451852,0.505874,0.539452,732,542,943,888
gru+lstm+tcn+xgb+cnn_lstm,5,0.574568,0.451852,0.505874,0.539452,732,542,943,888
catboost+lgbm+logreg+rf+cnn_lstm,5,0.574452,0.469136,0.51648,0.541707,760,563,922,860
catboost+lgbm+logreg+rf+tcn+cnn_lstm,6,0.574452,0.469136,0.51648,0.541707,760,563,922,860
lgbm+rf+xgb,3,0.574238,0.360494,0.442928,0.526892,584,433,1052,1036
lgbm+rf+tcn+xgb,4,0.574238,0.360494,0.442928,0.526892,584,433,1052,1036
lgbm+logreg+rf,3,0.574232,0.415432,0.482092,0.5343,673,499,986,947
lgbm+logreg+rf+tcn,4,0.574232,0.415432,0.482092,0.5343,673,499,986,947
cnn+gru+lgbm+logreg+xgb,5,0.574168,0.351235,0.435848,0.525604,569,422,1063,1051
cnn+gru+lgbm+logreg+tcn+xgb,6,0.574168,0.351235,0.435848,0.525604,569,422,1063,1051
catboost+gru+lgbm+logreg+rf+tcn+cnn_lstm,7,0.574018,0.469136,0.516304,0.541385,760,564,921,860
gru+lgbm+logreg+rf+tcn,5,0.573743,0.415432,0.481919,0.533977,673,500,985,947
logreg+lstm+rf+xgb+cnn_lstm,5,0.573705,0.444444,0.50087,0.537842,720,535,950,900
logreg+lstm+rf+tcn+xgb+cnn_lstm,6,0.573705,0.444444,0.50087,0.537842,720,535,950,900
gru+lgbm+rf+tcn+xgb,5,0.573674,0.360494,0.44276,0.52657,584,434,1051,1036
catboost+cnn+lgbm+lstm+rf,5,0.573612,0.440123,0.498079,0.537198,713,530,955,907
catboost+cnn+lgbm+lstm+rf+tcn,6,0.573612,0.440123,0.498079,0.537198,713,530,955,907
gru+rf+xgb,3,0.573604,0.279012,0.375415,0.51562,452,336,1149,1168
gru+rf+tcn+xgb,4,0.573604,0.279012,0.375415,0.51562,452,336,1149,1168
catboost+cnn+gru+lgbm+lstm+rf+tcn,7,0.573494,0.440741,0.498429,0.537198,714,531,954,906
catboost+lgbm+logreg+xgb+cnn_lstm,5,0.573463,0.472222,0.517942,0.541385,765,569,916,855
catboost+lgbm+logreg+tcn+xgb+cnn_lstm,6,0.573463,0.472222,0.517942,0.541385,765,569,916,855
catboost+cnn+lstm+rf+xgb,5,0.573432,0.429012,0.490819,0.535588,695,517,968,925
catboost+cnn+lstm+rf+tcn+xgb,6,0.573432,0.429012,0.490819,0.535588,695,517,968,925
catboost+lgbm+logreg+lstm+xgb,5,0.573323,0.453704,0.506547,0.538808,735,547,938,885
catboost+lgbm+logreg+lstm+tcn+xgb,6,0.573323,0.453704,0.506547,0.538808,735,547,938,885
catboost+logreg+rf,3,0.573197,0.485802,0.525894,0.542995,787,586,899,833
catboost+logreg+rf+tcn,4,0.573197,0.485802,0.525894,0.542995,787,586,899,833
catboost+gru+logreg+rf+tcn,5,0.573197,0.485802,0.525894,0.542995,787,586,899,833
catboost+cnn+logreg+rf+xgb,5,0.573161,0.466667,0.514461,0.540419,756,563,922,864
catboost+cnn+logreg+rf+tcn+xgb,6,0.573161,0.466667,0.514461,0.540419,756,563,922,864
catboost+cnn+gru+logreg+rf+tcn+xgb,7,0.573161,0.466667,0.514461,0.540419,756,563,922,864
gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.573132,0.445062,0.501042,0.53752,721,537,948,899
rf+xgb,2,0.573062,0.278395,0.37474,0.515298,451,336,1149,1169
rf+tcn+xgb,3,0.573061,0.433333,0.493497,0.53591,702,523,962,918
lgbm+logreg+lstm+rf+xgb,5,0.573043,0.40679,0.475812,0.532367,659,491,994,961
lgbm+logreg+lstm+rf+tcn+xgb,6,0.573043,0.40679,0.475812,0.532367,659,491,994,961
catboost+gru+lgbm+logreg+tcn+xgb+cnn_lstm,7,0.573034,0.472222,0.517766,0.541063,765,570,915,855
cnn+logreg+lstm+rf,4,0.572899,0.412346,0.479541,0.533011,668,498,987,952
catboost+gru+lgbm+logreg+lstm+tcn+xgb,7,0.572876,0.453704,0.506373,0.538486,735,548,937,885
catboost+cnn+gru+lstm+rf+tcn+xgb,7,0.57284,0.42963,0.491005,0.535266,696,519,966,924
catboost+logreg+lstm+rf+cnn_lstm,5,0.572656,0.493827,0.530328,0.543639,800,597,888,820
catboost+logreg+lstm+rf+tcn+cnn_lstm,6,0.572656,0.493827,0.530328,0.543639,800,597,888,820
catboost+logreg+rf+tcn+xgb,5,0.572632,0.503704,0.535961,0.544928,816,609,876,804
catboost+cnn+lgbm+lstm+xgb,5,0.572568,0.44321,0.499652,0.536876,718,536,949,902
catboost+cnn+lgbm+lstm+tcn+xgb,6,0.572568,0.44321,0.499652,0.536876,718,536,949,902
catboost+logreg+xgb,3,0.572552,0.494444,0.530639,0.543639,801,598,887,819
catboost+logreg+tcn+xgb,4,0.572552,0.494444,0.530639,0.543639,801,598,887,819
catboost+gru+logreg+tcn+xgb,5,0.572552,0.494444,0.530639,0.543639,801,598,887,819
gru+lgbm+logreg+lstm+rf+tcn+xgb,7,0.572546,0.40679,0.475641,0.532045,659,492,993,961
catboost+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.572498,0.519136,0.544513,0.54686,841,628,857,779
catboost+cnn+gru+lgbm+lstm+tcn+xgb,7,0.572452,0.443827,0.5,0.536876,719,537,948,901
cnn+logreg+lstm+xgb,4,0.572402,0.414815,0.481031,0.533011,672,502,983,948
cnn+rf+xgb,3,0.572344,0.385802,0.460914,0.529147,625,467,1018,995
cnn+rf+tcn+xgb,4,0.572344,0.385802,0.460914,0.529147,625,467,1018,995
catboost+lstm+cnn_lstm,3,0.572293,0.525309,0.547795,0.547504,851,636,849,769
catboost+lstm+tcn+cnn_lstm,4,0.572293,0.525309,0.547795,0.547504,851,636,849,769
catboost+gru+lstm+tcn+cnn_lstm,5,0.572293,0.525309,0.547795,0.547504,851,636,849,769
cnn+gru+logreg+lstm+rf,5,0.572284,0.412963,0.479742,0.532689,669,500,985,951
cnn+gru+logreg+lstm+rf+tcn,6,0.572284,0.412963,0.479742,0.532689,669,500,985,951
catboost+cnn+lgbm+logreg+rf,5,0.572173,0.474691,0.518893,0.540741,769,575,910,851
catboost+cnn+lgbm+logreg+rf+tcn,6,0.572173,0.474691,0.518893,0.540741,769,575,910,851
catboost+gru+logreg+lstm+rf+tcn+cnn_lstm,7,0.572143,0.494444,0.530464,0.543317,801,599,886,819
catboost+cnn+logreg+lstm+rf+xgb,6,0.572049,0.40679,0.475469,0.531723,659,493,992,961
catboost+cnn+gru+logreg+lstm+rf+xgb,7,0.572049,0.40679,0.475469,0.531723,659,493,992,961
catboost+cnn+gru+logreg+lstm+rf+tcn+xgb,8,0.572049,0.40679,0.475469,0.531723,659,493,992,961
lgbm+lstm+cnn_lstm,3,0.571994,0.446296,0.501387,0.536876,723,541,944,897
lgbm+lstm+tcn+cnn_lstm,4,0.571994,0.446296,0.501387,0.536876,723,541,944,897
gru+lgbm+lstm+tcn+cnn_lstm,5,0.571994,0.446296,0.501387,0.536876,723,541,944,897
catboost+rf+tcn,3,0.571825,0.508642,0.538386,0.544928,824,617,868,796
cnn+gru+logreg+lstm+xgb,5,0.571793,0.415432,0.48123,0.532689,673,504,981,947
cnn+gru+logreg+lstm+tcn+xgb,6,0.571793,0.415432,0.48123,0.532689,673,504,981,947
catboost+cnn+gru+lgbm+logreg+rf+tcn,7,0.571747,0.474691,0.518718,0.540419,769,576,909,851
cnn+gru+rf+tcn+xgb,5,0.571689,0.38642,0.461142,0.528824,626,469,1016,994
catboost+cnn+lgbm+logreg+lstm+rf+xgb,7,0.571654,0.448148,0.502422,0.536876,726,544,941,894
catboost+cnn+lgbm+logreg+lstm+rf+tcn+xgb,8,0.571654,0.448148,0.502422,0.536876,726,544,941,894
gru+logreg+rf+xgb,4,0.571615,0.270988,0.367672,0.513688,439,329,1156,1181
catboost+cnn+logreg+lstm,4,0.571429,0.474074,0.518219,0.540097,768,576,909,852
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb,9,0.571204,0.448148,0.502248,0.536554,726,545,940,894
catboost+cnn+logreg+xgb,4,0.5712,0.440741,0.497561,0.535588,714,536,949,906
catboost+cnn+gru+logreg+xgb,5,0.5712,0.440741,0.497561,0.535588,714,536,949,906
catboost+cnn+gru+logreg+tcn+xgb,6,0.5712,0.440741,0.497561,0.535588,714,536,949,906
cnn+lstm+rf+xgb+cnn_lstm,5,0.571106,0.468519,0.514751,0.53913,759,570,915,861
cnn+lstm+rf+tcn+xgb+cnn_lstm,6,0.571106,0.468519,0.514751,0.53913,759,570,915,861
cnn+gru+lstm+rf+tcn+xgb+cnn_lstm,7,0.571106,0.468519,0.514751,0.53913,759,570,915,861
catboost+cnn+logreg+lstm+rf+xgb+cnn_lstm,7,0.571012,0.483951,0.523889,0.541063,784,589,896,836
catboost+cnn+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.571012,0.483951,0.523889,0.541063,784,589,896,836
catboost+cnn+gru+logreg+lstm,5,0.570898,0.474691,0.518369,0.539775,769,578,907,851
catboost+cnn+gru+logreg+lstm+tcn,6,0.570898,0.474691,0.518369,0.539775,769,578,907,851
catboost+cnn+lstm+rf+cnn_lstm,5,0.570833,0.507407,0.537255,0.543961,822,618,867,798
catboost+cnn+lstm+rf+tcn+cnn_lstm,6,0.570833,0.507407,0.537255,0.543961,822,618,867,798
catboost+cnn+gru+lstm+rf+tcn+cnn_lstm,7,0.570833,0.507407,0.537255,0.543961,822,618,867,798
catboost+lgbm+logreg+lstm+cnn_lstm,5,0.570822,0.497531,0.531662,0.542673,806,606,879,814
catboost+lgbm+logreg+lstm+tcn+cnn_lstm,6,0.570822,0.497531,0.531662,0.542673,806,606,879,814
catboost+cnn+lgbm+xgb+cnn_lstm,5,0.570769,0.458025,0.508219,0.53752,742,558,927,878
catboost+cnn+lgbm+tcn+xgb+cnn_lstm,6,0.570769,0.458025,0.508219,0.53752,742,558,927,878
catboost+gru+lgbm+logreg+lstm+tcn+cnn_lstm,7,0.570721,0.498148,0.531971,0.542673,807,607,878,813
catboost+cnn+gru+lgbm+tcn+xgb+cnn_lstm,7,0.570661,0.458642,0.508556,0.53752,743,559,926,877
catboost+lgbm+logreg+lstm+rf+tcn+xgb,7,0.570575,0.471605,0.516391,0.53913,764,575,910,856
catboost+cnn+gru+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.570494,0.484568,0.524032,0.540741,785,591,894,835
catboost+lgbm+logreg+rf+tcn+xgb+cnn_lstm,7,0.570413,0.495062,0.530073,0.542029,802,604,881,818
lgbm+logreg+xgb,3,0.570332,0.412963,0.479055,0.531401,669,504,981,951
lgbm+logreg+tcn+xgb,4,0.570332,0.412963,0.479055,0.531401,669,504,981,951
catboost+cnn+lgbm+logreg+lstm+xgb+cnn_lstm,7,0.570007,0.495062,0.529898,0.541707,802,605,880,818
catboost+cnn+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,8,0.570007,0.495062,0.529898,0.541707,802,605,880,818
cnn+lgbm+rf+xgb+cnn_lstm,5,0.569939,0.404938,0.473475,0.530113,656,495,990,964
cnn+lgbm+rf+tcn+xgb+cnn_lstm,6,0.569939,0.404938,0.473475,0.530113,656,495,990,964
catboost+logreg+lstm+xgb+cnn_lstm,5,0.569923,0.500617,0.533027,0.542351,811,612,873,809
catboost+logreg+lstm+tcn+xgb+cnn_lstm,6,0.569923,0.500617,0.533027,0.542351,811,612,873,809
catboost+cnn+rf+tcn+xgb,5,0.569915,0.498148,0.531621,0.542029,807,609,876,813
catboost+cnn+gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,9,0.569908,0.495679,0.530208,0.541707,803,606,879,817
gru+lgbm+logreg+tcn+xgb,5,0.569847,0.412963,0.478883,0.531079,669,505,980,951
cnn+gru+lgbm+rf+tcn+xgb+cnn_lstm,7,0.569818,0.405556,0.473855,0.530113,657,496,989,963
logreg+lstm+xgb,3,0.569517,0.47284,0.516695,0.538486,766,579,906,854
logreg+lstm+tcn+xgb,4,0.569517,0.47284,0.516695,0.538486,766,579,906,854
catboost+gru+logreg+lstm+tcn+xgb+cnn_lstm,7,0.569425,0.501235,0.533158,0.542029,812,614,871,808
catboost+cnn+logreg+lstm+rf+tcn+xgb,7,0.569353,0.532099,0.550096,0.545894,862,652,833,758
logreg+lstm+rf+tcn+xgb,5,0.56922,0.5,0.532369,0.541707,810,613,872,810
lgbm+logreg+rf+tcn+xgb,5,0.569219,0.454321,0.505321,0.53591,736,557,928,884
lgbm+rf+tcn+xgb+cnn_lstm,5,0.569124,0.457407,0.507187,0.536232,741,561,924,879
catboost+logreg+lstm,3,0.569068,0.531481,0.549633,0.545572,861,652,833,759
catboost+logreg+lstm+tcn,4,0.569068,0.531481,0.549633,0.545572,861,652,833,759
logreg+lstm+rf,3,0.569057,0.465432,0.512054,0.537198,754,571,914,866
logreg+lstm+rf+tcn,4,0.569057,0.465432,0.512054,0.537198,754,571,914,866
gru+logreg+lstm+tcn+xgb,5,0.568991,0.473457,0.516846,0.538164,767,581,904,853
catboost+cnn+lgbm+rf+tcn+xgb+cnn_lstm,7,0.56882,0.5,0.532194,0.541385,810,614,871,810
catboost+cnn+lgbm+logreg+lstm+rf+cnn_lstm,7,0.568642,0.485802,0.523968,0.539452,787,597,888,833
catboost+cnn+lgbm+logreg+lstm+rf+tcn+cnn_lstm,8,0.568642,0.485802,0.523968,0.539452,787,597,888,833
catboost+gru+logreg+lstm+tcn,5,0.568602,0.532099,0.549745,0.54525,862,654,831,758
catboost+cnn+gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,9,0.568543,0.48642,0.524285,0.539452,788,598,887,832
gru+logreg+lstm+rf+tcn,5,0.568524,0.466049,0.512212,0.536876,755,573,912,865
catboost+cnn+logreg+cnn_lstm,4,0.568452,0.471605,0.51552,0.53752,764,580,905,856
cnn+lgbm+rf,3,0.568301,0.400617,0.469949,0.528502,649,493,992,971
cnn+lgbm+rf+tcn,4,0.568301,0.400617,0.469949,0.528502,649,493,992,971
cnn+logreg+lstm+rf+xgb,5,0.568285,0.462346,0.509871,0.536232,749,569,916,871
cnn+logreg+lstm+rf+tcn+xgb,6,0.568285,0.462346,0.509871,0.536232,749,569,916,871
cnn+lgbm+lstm+xgb+cnn_lstm,5,0.568268,0.459877,0.508359,0.53591,745,566,919,875
cnn+lgbm+lstm+tcn+xgb+cnn_lstm,6,0.568268,0.459877,0.508359,0.53591,745,566,919,875
cnn+gru+lgbm+lstm+tcn+xgb+cnn_lstm,7,0.568268,0.459877,0.508359,0.53591,745,566,919,875
cnn+gru+lgbm+rf+tcn,5,0.568182,0.401235,0.470333,0.528502,650,494,991,970
lgbm+logreg+lstm,3,0.567994,0.466667,0.512369,0.536554,756,575,910,864
lgbm+logreg+lstm+tcn,4,0.567994,0.466667,0.512369,0.536554,756,575,910,864
cnn+lgbm+logreg+lstm+rf,5,0.567994,0.466667,0.512369,0.536554,756,575,910,864
cnn+lgbm+logreg+lstm+rf+tcn,6,0.567994,0.466667,0.512369,0.536554,756,575,910,864
catboost+cnn+gru+logreg+cnn_lstm,5,0.567929,0.472222,0.515672,0.537198,765,582,903,855
catboost+cnn+gru+logreg+tcn+cnn_lstm,6,0.567929,0.472222,0.515672,0.537198,765,582,903,855
gru+lgbm+logreg+lstm+tcn,5,0.567892,0.467284,0.512699,0.536554,757,576,909,863
cnn+gru+lgbm+logreg+lstm+rf+tcn,7,0.567892,0.467284,0.512699,0.536554,757,576,909,863
catboost+tcn+xgb,3,0.567885,0.537037,0.55203,0.54525,870,662,823,750
cnn+gru+lgbm,3,0.567885,0.268519,0.364627,0.511755,435,331,1154,1185
cnn+gru+lgbm+tcn,4,0.567885,0.268519,0.364627,0.511755,435,331,1154,1185
catboost+lgbm+rf+tcn+cnn_lstm,5,0.567808,0.511728,0.538312,0.542029,829,631,854,791
cnn+lgbm+lstm+rf+tcn+xgb+cnn_lstm,7,0.567808,0.511728,0.538312,0.542029,829,631,854,791
cnn+gru+logreg+lstm+rf+tcn+xgb,7,0.567752,0.462963,0.510031,0.53591,750,571,914,870
logreg+cnn_lstm,2,0.567748,0.367284,0.446027,0.523994,595,453,1032,1025
cnn+logreg+rf+cnn_lstm,4,0.567657,0.424691,0.485876,0.531079,688,524,961,932
catboost+cnn+lgbm+logreg+rf+tcn+xgb,7,0.567624,0.5,0.53167,0.540419,810,617,868,810
catboost+cnn+lstm+xgb+cnn_lstm,5,0.567549,0.516049,0.540575,0.542351,836,637,848,784
catboost+cnn+lstm+tcn+xgb+cnn_lstm,6,0.567549,0.516049,0.540575,0.542351,836,637,848,784
catboost+cnn+gru+lstm+tcn+xgb+cnn_lstm,7,0.567549,0.516049,0.540575,0.542351,836,637,848,784
catboost+lgbm+logreg,3,0.567511,0.498148,0.530572,0.540097,807,615,870,813
catboost+lgbm+logreg+tcn,4,0.567511,0.498148,0.530572,0.540097,807,615,870,813
cnn+lgbm,2,0.567497,0.267284,0.363407,0.511433,433,330,1155,1187
lgbm+lstm+rf+tcn+cnn_lstm,5,0.567458,0.516667,0.540872,0.542351,837,638,847,783
catboost+logreg+lstm+rf+tcn,5,0.567358,0.540741,0.553729,0.54525,876,668,817,744
catboost+cnn+xgb,3,0.567286,0.470988,0.514671,0.536554,763,582,903,857
catboost+cnn+tcn+xgb,4,0.567286,0.470988,0.514671,0.536554,763,582,903,857
catboost+cnn+logreg+lstm+xgb,5,0.567164,0.516049,0.540401,0.542029,836,638,847,784
catboost+cnn+logreg+lstm+tcn+xgb,6,0.567164,0.516049,0.540401,0.542029,836,638,847,784
lgbm+xgb+cnn_lstm,3,0.567136,0.37284,0.449907,0.524316,604,461,1024,1016
lgbm+tcn+xgb+cnn_lstm,4,0.567136,0.37284,0.449907,0.524316,604,461,1024,1016
catboost+lgbm+logreg+rf+tcn,5,0.567123,0.511111,0.537662,0.541385,828,632,853,792
catboost+gru+lgbm+logreg+tcn,5,0.567112,0.498148,0.530398,0.539775,807,616,869,813
lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,7,0.5671,0.485185,0.522954,0.538164,786,600,885,834
gru+logreg+cnn_lstm,3,0.567079,0.367901,0.446275,0.523671,596,455,1030,1024
gru+logreg+tcn+cnn_lstm,4,0.567079,0.367901,0.446275,0.523671,596,455,1030,1024
cnn+gru+logreg+rf+cnn_lstm,5,0.567078,0.425309,0.486067,0.530757,689,526,959,931
cnn+gru+logreg+rf+tcn+cnn_lstm,6,0.567078,0.425309,0.486067,0.530757,689,526,959,931
gru+lgbm+tcn+xgb+cnn_lstm,5,0.56701,0.373457,0.450316,0.524316,605,462,1023,1015
cnn+logreg+lstm+cnn_lstm,4,0.56686,0.481481,0.520694,0.53752,780,596,889,840
cnn+gru+logreg+lstm+cnn_lstm,5,0.56686,0.481481,0.520694,0.53752,780,596,889,840
cnn+gru+logreg+lstm+tcn+cnn_lstm,6,0.56686,0.481481,0.520694,0.53752,780,596,889,840
catboost+cnn+gru+tcn+xgb,5,0.566766,0.471605,0.514825,0.536232,764,584,901,856
catboost+cnn+gru+logreg+lstm+tcn+xgb,7,0.566689,0.516667,0.540523,0.541707,837,640,845,783
catboost+lgbm+lstm+rf+tcn,5,0.56652,0.478395,0.518742,0.536876,775,593,892,845
catboost+logreg+lstm+tcn+xgb,5,0.566372,0.553086,0.55965,0.545894,896,686,799,724
catboost+cnn+logreg+lstm+rf,5,0.566366,0.503086,0.532854,0.539775,815,624,861,805
catboost+cnn+logreg+lstm+rf+tcn,6,0.566366,0.503086,0.532854,0.539775,815,624,861,805
catboost+cnn+lgbm+logreg+xgb,5,0.566352,0.482099,0.52084,0.537198,781,598,887,839
catboost+cnn+lgbm+logreg+tcn+xgb,6,0.566352,0.482099,0.52084,0.537198,781,598,887,839
lgbm+lstm+tcn+xgb+cnn_lstm,5,0.56633,0.519136,0.541707,0.541707,841,644,841,779
catboost+cnn+lgbm+lstm+cnn_lstm,5,0.566273,0.503704,0.533159,0.539775,816,625,860,804
catboost+cnn+lgbm+lstm+tcn+cnn_lstm,6,0.566273,0.503704,0.533159,0.539775,816,625,860,804
catboost+cnn+gru+lgbm+lstm+tcn+cnn_lstm,7,0.566273,0.503704,0.533159,0.539775,816,625,860,804
lgbm+lstm+rf+tcn+xgb,5,0.566159,0.435802,0.492501,0.531401,706,541,944,914
catboost+cnn+gru+lgbm+logreg+tcn+xgb,7,0.565942,0.482099,0.520667,0.536876,781,599,886,839
catboost+cnn+lgbm,3,0.565926,0.471605,0.514478,0.535588,764,586,899,856
catboost+cnn+lgbm+tcn,4,0.565926,0.471605,0.514478,0.535588,764,586,899,856
catboost+cnn+gru+logreg+lstm+rf+tcn,7,0.565881,0.503704,0.532985,0.539452,816,626,859,804
catboost+cnn+gru+lgbm+tcn,5,0.565828,0.472222,0.514805,0.535588,765,587,898,855
gru+lgbm+tcn,3,0.565686,0.356173,0.437121,0.521417,577,443,1042,1043
