models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+cnn+gru+lgbm+logreg+xgb,6,0.594595,0.325926,0.421053,0.532367,528,360,1125,1092
catboost+cnn+gru+cnn_lstm,4,0.594595,0.258025,0.359879,0.521095,418,285,1200,1202
gru+lgbm+lstm+rf+xgb+cnn_lstm,6,0.594477,0.252469,0.354419,0.520129,409,279,1206,1211
lgbm+lstm+rf+cnn_lstm,4,0.594438,0.316667,0.41321,0.530757,513,350,1135,1107
gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,7,0.594433,0.369136,0.455446,0.539452,598,408,1077,1022
gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.594433,0.369136,0.455446,0.539452,598,408,1077,1022
catboost+cnn+gru+lgbm+logreg+rf,6,0.594421,0.341975,0.434169,0.534944,554,378,1107,1066
catboost+gru+lstm+rf+cnn_lstm,5,0.59433,0.375309,0.460083,0.540419,608,415,1070,1012
catboost+gru+lstm+rf+tcn+cnn_lstm,6,0.59433,0.375309,0.460083,0.540419,608,415,1070,1012
catboost+gru+lgbm+logreg+lstm+xgb+cnn_lstm,7,0.594281,0.410494,0.485579,0.546216,665,454,1031,955
catboost+gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,8,0.594281,0.410494,0.485579,0.546216,665,454,1031,955
cnn+gru+lgbm+rf+xgb+cnn_lstm,6,0.594268,0.24321,0.34516,0.518519,394,269,1216,1226
gru+lgbm+logreg+lstm+xgb+cnn_lstm,6,0.594241,0.280247,0.380872,0.524638,454,310,1175,1166
gru+lgbm+lstm+rf+cnn_lstm,5,0.59422,0.317284,0.413682,0.530757,514,351,1134,1106
gru+lgbm+lstm+rf+tcn+cnn_lstm,6,0.59422,0.317284,0.413682,0.530757,514,351,1134,1106
catboost+cnn+lgbm+rf,4,0.594173,0.352469,0.442464,0.536554,571,390,1095,1049
catboost+gru+logreg+lstm+rf+cnn_lstm,6,0.594159,0.364198,0.451588,0.538486,590,403,1082,1030
catboost+gru+cnn_lstm,3,0.594118,0.311728,0.408907,0.529791,505,345,1140,1115
catboost+gru+tcn+cnn_lstm,4,0.594118,0.311728,0.408907,0.529791,505,345,1140,1115
cnn+gru+lgbm+logreg+lstm+rf,6,0.594118,0.311728,0.408907,0.529791,505,345,1140,1115
catboost+lgbm+xgb+cnn_lstm,4,0.594104,0.323457,0.418865,0.531723,524,358,1127,1096
lstm+xgb,2,0.594046,0.270988,0.372192,0.523027,439,300,1185,1181
catboost+gru+logreg+cnn_lstm,4,0.594022,0.294444,0.393727,0.526892,477,326,1159,1143
gru+lgbm+logreg+xgb,4,0.59401,0.22037,0.321477,0.514654,357,244,1241,1263
catboost+cnn+gru+lgbm+logreg+lstm,6,0.594008,0.354938,0.444359,0.536876,575,393,1092,1045
catboost+cnn+gru+rf,4,0.593964,0.267284,0.368668,0.522383,433,296,1189,1187
cnn+gru+lgbm+logreg,4,0.593949,0.230247,0.331851,0.516264,373,255,1230,1247
lgbm+logreg+lstm+xgb,4,0.593849,0.345679,0.436988,0.535266,560,383,1102,1060
