models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+gru+rf+tcn+xgb+cnn_lstm,6,0.60054,0.274691,0.376959,0.526248,445,296,1189,1175
gru+lgbm+logreg+rf+xgb+cnn_lstm,6,0.6,0.294444,0.395031,0.529469,477,318,1167,1143
catboost+gru+logreg+lstm,4,0.6,0.255556,0.358442,0.522705,414,276,1209,1206
gru+tcn,2,0.6,0.003704,0.007362,0.478905,6,4,1481,1614
catboost+gru+lgbm+lstm+tcn+xgb,6,0.599705,0.250617,0.353505,0.521739,406,271,1214,1214
gru+rf+xgb,3,0.599691,0.239506,0.342303,0.519807,388,259,1226,1232
gru+lgbm+logreg+lstm+cnn_lstm,5,0.599398,0.245679,0.348511,0.520773,398,266,1219,1222
catboost+gru+rf+xgb+cnn_lstm,5,0.599185,0.272222,0.374363,0.525282,441,295,1190,1179
gru+lgbm+xgb,3,0.599182,0.180864,0.277857,0.509501,293,196,1289,1327
gru+lgbm+logreg+rf,4,0.599125,0.253704,0.356461,0.522061,411,275,1210,1209
gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,7,0.598991,0.29321,0.393701,0.528824,475,318,1167,1145
gru+logreg+rf+cnn_lstm,4,0.598893,0.267284,0.369612,0.524316,433,290,1195,1187
gru+lgbm+lstm+tcn+cnn_lstm,5,0.598698,0.17037,0.265257,0.507568,276,185,1300,1344
gru+logreg+rf+tcn+cnn_lstm,5,0.598649,0.273457,0.375424,0.525282,443,297,1188,1177
gru+lstm+xgb+cnn_lstm,4,0.598639,0.217284,0.318841,0.51562,352,236,1249,1268
catboost+gru+rf+xgb,4,0.598303,0.261111,0.363558,0.523027,423,284,1201,1197
catboost+gru+lgbm+logreg+rf+tcn+cnn_lstm,7,0.598301,0.304321,0.403437,0.530435,493,331,1154,1127
gru+lstm+rf+tcn+xgb,5,0.598266,0.255556,0.358131,0.522061,414,278,1207,1206
gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,7,0.598248,0.295062,0.395205,0.528824,478,321,1164,1142
gru+logreg+rf+xgb+cnn_lstm,5,0.598214,0.289506,0.390183,0.527858,469,315,1170,1151
catboost+gru+lstm+rf+xgb+cnn_lstm,6,0.598155,0.280247,0.381673,0.526248,454,305,1180,1166
catboost+gru+logreg+rf,4,0.597656,0.283333,0.384422,0.52657,459,309,1176,1161
gru+lstm+tcn+xgb+cnn_lstm,5,0.597643,0.219136,0.320687,0.51562,355,239,1246,1265
catboost+gru+lstm+tcn+xgb+cnn_lstm,6,0.597633,0.249383,0.351916,0.520773,404,272,1213,1216
catboost+gru+lstm+xgb+cnn_lstm,5,0.597598,0.245679,0.348206,0.520129,398,268,1217,1222
gru+logreg+rf+tcn,4,0.597384,0.253704,0.356153,0.521417,411,277,1208,1209
gru+lgbm+rf+tcn+xgb,5,0.597325,0.248148,0.350632,0.520451,402,271,1214,1218
gru+lstm+rf+xgb+cnn_lstm,5,0.597183,0.261728,0.363948,0.522705,424,286,1199,1196
catboost+gru+lgbm+xgb,4,0.597039,0.224074,0.325853,0.516264,363,245,1240,1257
gru+lgbm+logreg+lstm+tcn+cnn_lstm,6,0.597037,0.248765,0.351198,0.520451,403,272,1213,1217
catboost+gru+rf+tcn+xgb,5,0.596932,0.264198,0.366282,0.523027,428,289,1196,1192
gru+lgbm+lstm+rf+xgb+cnn_lstm,6,0.596932,0.264198,0.366282,0.523027,428,289,1196,1192
gru+logreg+rf+tcn+xgb+cnn_lstm,6,0.596692,0.289506,0.389859,0.527214,469,317,1168,1151
catboost+gru+lgbm+rf+xgb,5,0.596685,0.266667,0.368601,0.523349,432,292,1193,1188
catboost+gru+lgbm+lstm+rf+tcn+xgb,7,0.596538,0.276543,0.3779,0.52496,448,303,1182,1172
gru+lgbm+rf+xgb,4,0.596413,0.246296,0.348624,0.519807,399,270,1215,1221
catboost+gru+lstm+rf+tcn+xgb+cnn_lstm,7,0.59633,0.280864,0.381872,0.525604,455,308,1177,1165
gru+lgbm+rf+xgb+cnn_lstm,5,0.596237,0.254321,0.356556,0.521095,412,279,1206,1208
gru+lgbm+logreg+rf+xgb,5,0.596129,0.285185,0.385804,0.526248,462,313,1172,1158
gru+lstm+rf+tcn+xgb+cnn_lstm,6,0.596127,0.266049,0.367904,0.523027,431,292,1193,1189
gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,7,0.596059,0.298765,0.398026,0.528502,484,328,1157,1136
catboost+gru+logreg+lstm+tcn,5,0.596017,0.258642,0.36074,0.521739,419,284,1201,1201
gru+lgbm+tcn+xgb,4,0.596,0.183951,0.281132,0.509179,298,202,1283,1322
cnn+gru+xgb,3,0.595975,0.237654,0.339806,0.518196,385,261,1224,1235
catboost+cnn+gru+lgbm+lstm+xgb+cnn_lstm,7,0.595899,0.304938,0.40343,0.529469,494,335,1150,1126
catboost+gru+lgbm+rf+tcn+xgb,6,0.59589,0.268519,0.370213,0.523349,435,295,1190,1185
catboost+gru+lgbm+tcn+xgb,5,0.595779,0.226543,0.328265,0.516264,367,249,1236,1253
gru+logreg+lstm+tcn,4,0.595745,0.207407,0.307692,0.513043,336,228,1257,1284
catboost+gru+lgbm+lstm+rf+xgb,6,0.595687,0.27284,0.374259,0.523994,442,300,1185,1178
gru+lgbm+lstm+rf+xgb,5,0.595683,0.255556,0.357667,0.521095,414,281,1204,1206
gru+lgbm+logreg+rf+tcn+xgb,6,0.595635,0.28642,0.386828,0.526248,464,315,1170,1156
catboost+gru+lgbm+logreg+lstm+rf+cnn_lstm,7,0.595465,0.308025,0.406021,0.529791,499,339,1146,1121
gru+lgbm+logreg+lstm+xgb+cnn_lstm,6,0.5953,0.281481,0.38223,0.525282,456,310,1175,1164
gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,8,0.595122,0.301235,0.4,0.528502,488,332,1153,1132
catboost+gru+logreg+rf+tcn,5,0.595116,0.285802,0.386155,0.525926,463,315,1170,1157
catboost+gru+xgb+cnn_lstm,4,0.595082,0.224074,0.325561,0.51562,363,247,1238,1257
catboost+gru+lgbm+rf+tcn+xgb+cnn_lstm,7,0.594954,0.276543,0.377581,0.524316,448,305,1180,1172
cnn+gru+rf+xgb+cnn_lstm,5,0.594872,0.28642,0.386667,0.525926,464,316,1169,1156
gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,7,0.594839,0.284568,0.384969,0.525604,461,314,1171,1159
catboost+gru+logreg+lstm+rf,5,0.594763,0.294444,0.393889,0.527214,477,325,1160,1143
gru+logreg+lstm+tcn+xgb+cnn_lstm,6,0.594737,0.279012,0.379832,0.524638,452,308,1177,1168
catboost+gru+lgbm+rf+xgb+cnn_lstm,6,0.594631,0.273457,0.37463,0.523671,443,302,1183,1177
catboost+gru+lgbm+lstm+rf+xgb+cnn_lstm,7,0.594524,0.281481,0.38207,0.52496,456,311,1174,1164
catboost+gru+xgb,3,0.594356,0.208025,0.308185,0.512721,337,230,1255,1283
catboost+gru+logreg+lstm+rf+tcn,6,0.594328,0.297531,0.396545,0.527536,482,329,1156,1138
gru+logreg+tcn+xgb+cnn_lstm,5,0.594203,0.253086,0.354978,0.520129,410,280,1205,1210
catboost+cnn+gru+lgbm+logreg+lstm+xgb+cnn_lstm,8,0.594187,0.340741,0.433111,0.534622,552,377,1108,1068
catboost+gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,8,0.594034,0.282716,0.383103,0.52496,458,313,1172,1162
catboost+gru+lstm+tcn+cnn_lstm,5,0.594,0.183333,0.280189,0.508535,297,203,1282,1323
gru+lgbm+logreg+tcn+cnn_lstm,5,0.593863,0.203086,0.302668,0.511755,329,225,1260,1291
catboost+gru+lgbm+logreg+cnn_lstm,5,0.593842,0.25,0.351868,0.519485,405,277,1208,1215
gru+rf+xgb+cnn_lstm,4,0.59375,0.246296,0.348168,0.518841,399,273,1212,1221
gru+lgbm+rf+tcn+xgb+cnn_lstm,6,0.59366,0.254321,0.356093,0.520129,412,282,1203,1208
cnn+gru+tcn+xgb,4,0.593656,0.242593,0.344435,0.518196,393,269,1216,1227
cnn+gru+lgbm+lstm+rf+tcn,6,0.593631,0.287654,0.387526,0.525604,466,319,1166,1154
catboost+gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,8,0.593602,0.309259,0.406656,0.529147,501,343,1142,1119
gru+logreg+lstm+xgb+cnn_lstm,5,0.593583,0.274074,0.375,0.523349,444,304,1181,1176
cnn+gru+lgbm+lstm+rf,5,0.593548,0.283951,0.384134,0.52496,460,315,1170,1160
catboost+gru+tcn+xgb+cnn_lstm,5,0.593548,0.22716,0.328571,0.51562,368,252,1233,1252
catboost+gru+lgbm+logreg+tcn+xgb,6,0.593506,0.282099,0.382427,0.524638,457,313,1172,1163
gru+logreg,2,0.593443,0.111728,0.188052,0.496618,181,124,1361,1439
gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,7,0.593407,0.266667,0.367973,0.522061,432,296,1189,1188
gru+logreg+lstm,3,0.593407,0.2,0.299169,0.511111,324,222,1263,1296
catboost+cnn+gru+lgbm+lstm+tcn+xgb+cnn_lstm,8,0.593341,0.308025,0.405526,0.528824,499,342,1143,1121
gru+logreg+xgb,3,0.593272,0.239506,0.341249,0.517552,388,266,1219,1232
gru+logreg+xgb+cnn_lstm,4,0.593245,0.249383,0.351152,0.519163,404,277,1208,1216
catboost+gru+lgbm+logreg+lstm,5,0.593172,0.257407,0.359019,0.520451,417,286,1199,1203
cnn+gru+lstm+rf+xgb,5,0.593112,0.287037,0.386855,0.525282,465,319,1166,1155
catboost+cnn+gru+lgbm+lstm+rf+tcn,7,0.593037,0.304938,0.402772,0.52818,494,339,1146,1126
cnn+gru+logreg+lstm+xgb+cnn_lstm,6,0.592971,0.32284,0.418066,0.531079,523,359,1126,1097
