number,value,datetime_start,datetime_complete,duration,params_act,params_arch,params_batch,params_conv_blocks,params_conv_drop,params_dense,params_dropout,params_filters,params_kernel,params_l2,params_lr,params_lstm_drop,params_optim,params_pool,params_units,params_window,user_attrs_precision,user_attrs_recall,state
10,0.7126273512840271,2025-06-11 10:46:42.579846,2025-06-11 10:46:51.064830,0 days 00:00:08.484984,elu,lstm_conv,128,2,0.2940927363730487,32,0.30602968034379896,64,5,1.8856473797675402e-06,6.155496984137775e-05,0.059848726103446395,adamw,gmp,64,66,,,PRUNED
11,0.6976842880249023,2025-06-11 10:46:51.663829,2025-06-11 10:47:02.381807,0 days 00:00:10.717978,relu,lstm_conv,64,1,0.11111837034170777,128,0.16443192095012035,64,6,5.876801977230739e-05,0.00011382074827447258,0.014226479155539425,nadam,gmp,64,72,,,PRUNED
12,0.7646193504333496,2025-06-11 10:47:02.996807,2025-06-11 10:47:15.757782,0 days 00:00:12.760975,elu,lstm_conv,32,1,0.2559922672709138,32,0.37390899455692156,64,3,0.0001594420152473817,0.0004285721309320639,0.0640601765914204,nadam,gmp,64,72,,,PRUNED
13,-0.40899653979238754,2025-06-11 10:47:16.368780,2025-06-11 10:49:59.449810,0 days 00:02:43.081030,elu,conv_lstm,16,1,0.20891480273331137,32,0.3182075971210565,32,2,1.4450834450414745e-06,0.00011034399964924584,0.0034362246656019363,adamw,gmp,64,60,0.541704857928506,0.3643649815043157,COMPLETE
14,0.7115437388420105,2025-06-11 10:50:00.053808,2025-06-11 10:50:12.665784,0 days 00:00:12.611976,relu,lstm_conv,64,1,0.1634026779982557,32,0.273130077440915,32,7,0.0002637345281867394,0.0002685694130555375,0.10382892342460467,adamw,gmp,128,48,,,PRUNED
15,-0.40077378243058714,2025-06-11 10:50:13.295783,2025-06-11 10:50:56.878322,0 days 00:00:43.582539,elu,lstm_conv,128,1,0.18781659782195845,128,0.17320599235069814,64,2,4.942630267966436e-06,5.014831949229445e-05,0.16808041453362255,adamw,gmp,64,48,0.516725352112676,0.3603437691835482,COMPLETE
16,-0.4851612903225807,2025-06-11 10:50:57.510321,2025-06-11 10:51:29.310762,0 days 00:00:31.800441,elu,conv_lstm,128,2,0.2360813150364453,32,0.3935929494311614,64,2,5.327938953170226e-06,0.00023131559528892246,0.12773539329572808,adamw,gmp,32,66,0.5333333333333333,0.4641975308641975,COMPLETE
17,0.6891883611679077,2025-06-11 10:51:29.924761,2025-06-11 10:51:34.411327,0 days 00:00:04.486566,relu,lstm_conv,64,1,0.15439816159521141,32,0.3554043718761065,64,3,3.096330816237234e-05,9.609794770838972e-05,0.010259099864181588,adamw,gmp,64,48,,,PRUNED
18,0.7069936990737915,2025-06-11 10:51:35.047326,2025-06-11 10:51:40.241316,0 days 00:00:05.193990,elu,lstm_conv,64,1,0.0772748728562796,128,0.3631854714238974,64,5,0.0001252823467010463,0.00017390056317744386,0.009461307342284543,nadam,gap,128,30,,,PRUNED
19,0.7023229598999023,2025-06-11 10:51:40.880314,2025-06-11 10:51:51.358056,0 days 00:00:10.477742,relu,lstm_conv,16,1,0.017672975489134865,128,0.2115970542736324,64,7,0.00039225809652352044,0.00203817833487036,0.04288347028836205,nadam,gmp,128,60,,,PRUNED
