,DNN:dnn_grad,DNN:dnn_perm,LightGBM:lgb_split,LightGBM:lgb_gain,LightGBM:lgb_perm,LightGBM:lgb_shap,LogReg_L1:lr_l1_coef,LogReg_L1:lr_l1_perm,LogReg_L2:lr_l2_coef,LogReg_L2:lr_l2_perm,RandomForest:rf_gini,RandomForest:rf_perm,RandomForest:rf_shap,XGBoost:xgb_weight,XGBoost:xgb_gain,XGBoost:xgb_cover,XGBoost:xgb_perm,XGBoost:xgb_shap
CCI,0.0098162955,0.0067567825317382,333,1525.4648460149765,0.0102960102960103,0.0935884090647431,0.0005035470189068,-0.000965250965251,0.0061433852533346,-0.001126126126126,0.0350356094989908,0.0035392535392535,0.0034824030568484,0.0,0.0,0.0,-0.0028957528957529,0.086121656
stoch_%K,0.011386836,0.0091698765754699,343,1549.459567785263,0.0162483912483912,0.0948385630745362,0.0765716732672211,0.0236486486486486,0.0811242677476363,0.0183397683397683,0.0379802894406409,0.0043436293436293,0.0049059919751922,0.0,0.0,0.0,-0.0001608751608751,0.06460829
stoch_%D,0.009595904,-0.0033783316612243,355,1507.6286525428295,0.0122265122265122,0.0605349646133288,0.0,0.0,0.0020181591132809,0.0008043758043758,0.0345117417830289,0.0064350064350063,0.0019180415458313,0.0,0.0,0.0,0.0048262548262548,0.08005343
true_range,0.0076887193,0.0028957724571228,250,1104.096474647522,-0.0037001287001286,0.0401142907768323,0.0454526477440988,0.0025740025740025,0.0506915481282106,-0.0017696267696267,0.0311922422145666,0.0004826254826254,0.0017584624686423,0.0,0.0,0.0,-0.0033783783783783,0.054657318
atr_14,0.009671318,-0.002895712852478,230,1008.2064144909382,0.0043436293436293,0.0272521628341688,0.0244328817693339,-0.0028957528957529,0.0439038954329788,-0.0069176319176318,0.029878424124539,-0.0016087516087516,0.0010125846096884,0.0,0.0,0.0,0.0024131274131274,0.039820384
atr_ratio,0.010229794,0.0038610100746154,355,1645.6205230355265,0.0096525096525096,0.0609839843887057,0.0025610055650382,0.0006435006435006,0.0059503997875878,-0.0032175032175031,0.0362044129660371,0.003056628056628,0.001883501875294,0.0,0.0,0.0,0.0037001287001287,0.07400509
parkinson_vol,0.010555259,0.0053089261054992,379,1714.167055696249,0.0151222651222651,0.0785635201127913,0.0132907278881743,0.0006435006435006,0.0123479830865502,-0.0017696267696267,0.0343075396825091,-0.0067567567567567,0.0018615432882489,0.0,0.0,0.0,-0.0003217503217503,0.08510163
vwap_24h,0.0070436765,0.0004826188087463,44,226.16291159391403,0.0,0.0106579266657873,0.0,0.0,0.3474085239106155,0.005952380952381,0.0229648608409646,0.002091377091377,0.0011520641496512,0.0,0.0,0.0,0.0012870012870012,0.060831714
price_vs_vwap,0.014585997,0.0043436288833618,356,1621.2454427480698,0.0131917631917632,0.0868437215789872,0.1253550132045557,0.0033783783783783,0.1283582672905832,0.0008043758043758,0.0351733111029792,0.0083655083655083,0.0031830354908411,0.0,0.0,0.0,0.0011261261261261,0.09777518
volume_mean_20,0.014513387,-0.0024130940437316,367,1715.671665161848,0.0133526383526383,0.076856321656232,0.0098154317479512,0.0001608751608751,0.0129475786135732,-0.0019305019305018,0.0365252394383704,0.0082046332046331,0.0031405394774504,0.0,0.0,0.0,-0.004021879021879,0.08359493
volume_ratio,0.015529828,0.009652554988861,396,1818.1603959202769,0.0019305019305019,0.0538768414393633,0.0013614734793262,-0.0009652509652509,0.0198131066077169,0.0003217503217503,0.0351662603288034,-0.0032175032175032,0.0019445440617147,0.0,0.0,0.0,0.0054697554697554,0.06610337
vol_spike_1_5x,0.007884806,-0.0004826188087463,0,0.0,0.0,0.0,0.0150519323474726,-0.0006435006435007,0.0132447292458151,-0.0006435006435006,0.0006698297239017,0.0,3.0548731575528414e-05,0.0,0.0,0.0,0.0,0.0003322183
buying_pressure,0.021734864,0.0091698765754699,376,1741.5606410205364,0.0048262548262548,0.0639442448169615,0.0652006801574536,0.0144787644787644,0.0635144335718846,0.0114221364221364,0.0433726650850374,0.0025740025740025,0.0083320284614358,0.0,0.0,0.0,-0.0038610038610038,0.07230935
adx,0.013208653,0.0086872577667236,453,2084.224385261536,0.0032175032175032,0.0608430959758658,0.0376528177138076,0.0004826254826254,0.0420827708576323,7.401486830834377e-17,0.0355561408940915,-0.0032175032175032,0.002049377355594,0.0,0.0,0.0,-0.003056628056628,0.06953119
trending_market,0.009048434,0.0,1,3.630160093307495,0.0,9.517374378667284e-05,0.0299803578302918,0.0074002574002573,0.0342701816794514,0.0075611325611326,0.0023858300887457,0.0024131274131273,0.0003008155136004,0.0,0.0,0.0,-0.0009652509652509,0.0014826214
