,rf_gini,rf_perm,rf_shap,xgb_weight,xgb_gain,xgb_cover,xgb_perm,xgb_shap,lgb_split,lgb_gain,lgb_perm,lgb_shap,lr_l1_coef,lr_l1_perm,lr_l2_coef,lr_l2_perm,dnn_grad,dnn_perm
macd_cross_down,0.0012999633242482195,-0.0006435006435007162,0.000201999778899534,0.0,0.0,0.0,-0.002091377091377078,0.0037731421,5,15.425860047340393,3.700743415417188e-17,0.004287690419037464,0.02138100089489272,0.0014478764478763988,0.02298495395535948,-0.0014478764478764357,0.0085804565,0.0009652972221374512
macd_positive,0.0022978080823490886,-7.401486830834377e-17,0.0004399122798338479,0.0,0.0,0.0,0.0003217503217502656,0.003688513,0,0.0,0.0,0.0,0.00889765362984709,-0.0022522522522523034,0.012425284654328368,-0.00466537966537961,0.012645427,0.002413153648376465
macd_rising,0.0025952404841743924,0.004343629343629307,0.0005575930817409612,0.0,0.0,0.0,-0.0006435006435006422,0.025151083,20,101.14486134052277,-0.00305662805662806,0.0201684138099162,0.06623288592941494,0.0001608751608751143,0.06558440702380312,-0.0009652509652509078,0.017637508,-0.00916987657546997
obv_rising_24h,0.002944961689062981,0.0017696267696267383,0.0003438783130820574,0.0,0.0,0.0,0.0033783783783783625,0.0071559343,20,82.41937029361725,-0.0009652509652509448,0.004545693875305224,0.005390766456785286,0.0019305019305018527,0.00633071574767827,0.003700128700128776,0.013100246,0.0009652972221374512
stoch_overbought,0.001770297799853743,0.0011261261261260591,0.0015195755869971122,0.0,0.0,0.0,-0.0008043758043758306,0.0047779917,1,4.382050037384033,0.0,0.0001460780941682547,0.016376936871584896,0.0014478764478763988,0.019161845682332177,0.002574002574002643,0.011848359,0.001930534839630127
stoch_oversold,0.002448439315125755,0.0003217503217502656,0.0010617219457202676,0.0,0.0,0.0,0.0,6.733021e-05,1,4.796440124511719,0.0,0.00018896994916420674,0.009629667977485643,0.0033783783783783252,0.009337164069152755,-0.0014478764478763988,0.009912439,0.0033783912658691406
cci_overbought,0.0013535673745847365,0.0017696267696267014,0.0005570948066229226,0.0,0.0,0.0,-0.0014478764478764357,0.0065967613,1,3.8113300800323486,0.0008043758043757935,0.0025441673398974734,0.0432457056664498,0.004826254826254798,0.04770658312414311,0.006113256113256156,0.009453356,0.0038610100746154785
cci_oversold,0.0021359994278882925,-0.0003217503217503766,0.000963643714217209,0.0,0.0,0.0,-0.0006435006435006422,0.0022349083,1,6.7060699462890625,0.0001608751608751513,0.0005470964179608777,0.033126485759853885,0.004343629343629307,0.0359650989800439,0.0038610038610039274,0.014761641,-0.0004826188087463379
oversold_reversal,0.0006333576298251484,0.0001608751608751513,4.700772027679017e-05,0.0,0.0,0.0,0.0014478764478764357,0.0028576732,8,13.358790814876556,-0.0003217503217503026,0.003779546408235012,0.024628107152287994,-0.004182754182754193,0.026309775675231857,-0.0045045045045044585,0.0065985746,-0.0024130940437316895
overbought_reversal,0.0011208666110171038,0.0003217503217503026,0.00011440976289384019,0.0,0.0,0.0,-0.00032175032175033963,0.0032062363,4,10.93792986869812,0.0008043758043757935,0.0009833088715088042,0.006944711328384746,0.0004826254826254539,0.007495068933474662,0.00016087516087522533,0.009450649,-0.004343628883361816
momentum_alignment,0.0026223717863961423,0.0008043758043757565,0.0005127057669956803,0.0,0.0,0.0,-0.0014478764478764727,0.009542905,15,95.79354977607727,-0.0022522522522522292,0.014408150477967252,0.007220546473606882,-0.003217503217503248,0.007893810381332893,-0.002091377091377041,0.010046069,0.001930534839630127
volume_breakout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051238746,0.0
